id;name;responsable;adresse;telephones;statut
1;Iranian Infrastructure Granite;Wooden;generate override bandwidth;deposit;CLOSED
2;navigate;haptic Pound Rustic;Networked user-centric;innovate expedite Dollar;CLOSED
3;Orchestrator Loti;Games;Republic web-enabled Handmade;Generic alarm bluetooth;ACTIVE
4;Parks;alliance olive;Barbados state Designer;3rdX;CLOSED
5;leading-edge;Metal magenta Heights;scale;backing ADP;CLOSED
6;Program;user-centric Steel Alabama;sexy standardization;virtual Netherlands niches;CLOSED
7;Loan;Business-focused;Alabama service-desk;deposit Ergonomic;ACTIVE
8;Account Borders;View;invoice;Down-sized Franc Nicaragua;CLOSED
9;Generic Tennessee;dot-com Research;enhance Music;Movies Rustic user-centric;ACTIVE
10;product Architect markets;Awesome bandwidth;Senior Ferry;Investment Unbranded;CLOSED
