id;name;responsable;adresse
1;asynchronous Soft Market;indexing calculating Product;Designer
2;Metal;Applications;Integration
3;SDR generate;optical Interactions;user-centric array
4;navigating Market;circuit Buckinghamshire;New Hat
5;open Vermont;content Causeway Bahraini;Tasty Shoes Bermuda
6;Bacon override;Malawi Producer;Automotive wireless Polarised
7;Rubber;Gloves;Card Avon Integration
8;Applications Gorgeous virtual;FTP Ball Towels;Berkshire
9;Ukraine Loan bluetooth;paradigms wireless;Dong Planner deposit
10;Chair visionary Division;District;Zambia
